logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
2.970420520123381536e+00 9.686048294252326274e-01 7.411682806721907468e+01 2.252365686529340591e-02 1.296986335074208074e-01 6.515970353889426192e-02 -8.463372665256867489e-01 4.016630881320096963e-02 6.999622976359545778e-02
3.101046038832933949e+00 9.616927509593579115e-01 7.316774905526897044e+01 2.211657251000988256e-02 1.279767570074717420e-01 4.778967719380555756e-02 -8.195798522200496983e-01 3.750275846992621315e-02 7.622815950827281639e-02
2.823035318457693954e+00 9.895289181832835901e-01 7.446085986553497094e+01 2.240025451431714582e-02 1.276001687169462662e-01 5.779328059423765457e-02 -8.075007610418287740e-01 9.133652724674584666e-02 6.200368459448595687e-02
2.818582378234755215e+00 9.406598229176460491e-01 7.501776779265567541e+01 2.253436835971804955e-02 1.294791751353660814e-01 5.953578717842910456e-02 -8.549121683628349011e-01 6.455008006317757008e-02 7.721901802052941188e-02
2.807931354610811336e+00 9.193170438875291062e-01 7.265440188210469330e+01 2.237551908955693128e-02 1.298694298671186631e-01 9.779963346436858218e-02 -8.075630457068121437e-01 1.992169690593785861e-02 7.768738507806237370e-02
2.821754299957421441e+00 9.474364440160889522e-01 7.643940866306678572e+01 2.215387396405604781e-02 1.299534284960582042e-01 1.004987822487340456e-02 -8.974501414484443718e-01 8.107988278752287226e-02 4.994829964921260190e-02
3.054089846723290425e+00 9.223549783262956492e-01 7.260292628700238993e+01 2.233983219674571044e-02 1.120065640672096713e-01 3.195660133916369133e-02 -7.701707853220174371e-01 8.514343804375067160e-02 6.394950469963149586e-02
2.886022109110076617e+00 9.746832298170988729e-01 7.545568153888002882e+01 2.235601855735736693e-02 1.251249800463617168e-01 4.568686185727617588e-02 -8.707641855320580326e-01 8.590931503500877364e-02 3.814310229500206262e-02
3.032679746703590418e+00 9.834893490999507826e-01 7.505112151925720809e+01 2.248153587102787176e-02 1.289712894948203403e-01 5.031941286684446513e-02 -8.116665782949263885e-01 9.699211328985335445e-02 1.261171213935718960e-02
3.001955941330865407e+00 9.963306350806840905e-01 7.368164989804296283e+01 2.204993400868950071e-02 1.270923307388479306e-01 2.862853668626611642e-02 -8.731281603169864791e-01 1.303844354361436558e-02 2.889686814502714918e-02
2.906318579953787840e+00 9.493873502410820064e-01 7.460449007842781555e+01 2.259981149342178697e-02 1.249879985042946090e-01 8.564986258554153908e-02 -8.671158395181288725e-01 6.574460919809874127e-02 3.353119545571225241e-02
2.859256675898078637e+00 9.733202144887433960e-01 7.104065578337608144e+01 2.229101133402358603e-02 1.225501665764743564e-01 8.135577728545473342e-02 -7.791217600453483882e-01 1.474243619323436019e-02 6.826403409735531946e-02
2.894555484477460805e+00 9.532855977296662564e-01 7.400318932344646328e+01 2.210801549792267007e-02 1.266862938858631382e-01 3.622574877806683611e-03 -8.486649825062411168e-01 5.709045262545600630e-02 3.573992069750088485e-02
2.914626533520619400e+00 9.137844499541243337e-01 7.183739377168836882e+01 2.250827607554796092e-02 1.226293955568006216e-01 7.101689429744864612e-02 -8.375699921285928440e-01 2.233025600848742229e-02 5.667732506455121222e-02
3.196825479319620911e+00 9.542399575223046160e-01 7.508528160390019934e+01 2.250042341231354298e-02 1.291392770701285941e-01 8.325037978897376068e-02 -8.724536586819873207e-01 6.684999131954898199e-02 2.046523875905357712e-02
2.895325007959217878e+00 9.108903951740620064e-01 7.161064008261857339e+01 2.205158427319580186e-02 1.153068984419619580e-01 5.332006651550841303e-02 -7.728407093489018109e-01 4.816106001216806376e-02 4.637354053488784711e-02
2.849616264424070344e+00 9.404503217343482824e-01 7.516903469523070669e+01 2.214408948517277570e-02 1.263188033449181569e-01 8.875095460921481050e-02 -8.559506697481871207e-01 7.795313299190623213e-02 6.728261278570650539e-02
3.010515896998414931e+00 9.036775795245809428e-01 7.199912267320242165e+01 2.202516358274832567e-02 1.177402691980672100e-01 7.466149009248208845e-02 -7.753543476615785135e-01 7.145405767772405881e-02 1.930175861825319736e-02
2.995772941382619958e+00 9.268122765324074974e-01 7.052302919744403198e+01 2.213129381215777833e-02 1.224249318415795151e-01 9.396372938171593248e-02 -7.653599232213061931e-01 1.275225256232668906e-02 1.090526037180725681e-02
