# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
1.98248246e+00 1.13320101e+00 2.53580090e+01 6.51464566e-02 4.96663532e-01 2.45594661e-01 -1.69774320e+00 -9.22501707e-01 5.53290008e-01 0.00000000e+00 -1.00000000e+300
2.85190763e+00 1.15175594e+00 6.00353845e+01 7.75480935e-03 5.68963890e-01 1.83312998e+00 -1.32612007e+00 1.81422630e+00 4.96931049e-01 0.00000000e+00 -1.00000000e+300
2.45284646e+00 8.47259223e-01 3.91661752e+01 9.25013144e-02 8.23251582e-01 1.42769039e+00 -1.20890156e+00 1.39045363e+00 1.82295232e-01 0.00000000e+00 -1.00000000e+300
3.10248434e+00 1.06292357e+00 2.19905560e+01 4.06430463e-02 4.05470675e-01 1.03663421e+00 -1.77791053e+00 -4.14541820e-01 1.13178590e-01 0.00000000e+00 -1.00000000e+300
3.27934428e+00 8.02259808e-01 8.59184920e+01 6.07753007e-02 7.53926566e-01 6.32688569e-01 -1.92698278e+00 9.24458049e-01 3.87296652e-01 0.00000000e+00 -1.00000000e+300
3.43967285e+00 1.00609686e+00 7.87730787e+01 2.09346166e-02 5.40461723e-01 1.20595973e+00 -1.44785105e+00 -1.60661563e+00 6.08503950e-01 0.00000000e+00 -1.00000000e+300
1.88684612e+00 8.19306206e-01 9.90512549e+01 8.94828220e-02 5.37434231e-01 2.73967833e-01 -1.93790365e+00 1.93743658e+00 7.68722175e-02 0.00000000e+00 -1.00000000e+300
2.80483189e+00 8.33087925e-01 7.15757275e+01 4.04623136e-02 6.62836186e-01 3.92517892e-01 -1.31252501e+00 1.03897612e+00 6.29862404e-01 0.00000000e+00 -1.00000000e+300
2.12651473e+00 8.90297948e-01 8.89908122e+01 3.94443795e-02 2.48122130e-01 3.89860612e-01 -3.19536234e-01 6.44706099e-01 1.59746029e-01 0.00000000e+00 -1.00000000e+300
3.17447187e+00 9.21619656e-01 9.91572630e+01 1.48739943e-02 7.51557291e-01 5.14966153e-01 -1.12573555e+00 -8.30847683e-01 7.81034257e-01 0.00000000e+00 -1.00000000e+300
1.64624676e+00 8.75377202e-01 3.31992700e+01 1.20534158e-02 2.89344314e-01 7.17362874e-01 -1.27507043e-01 6.62618487e-01 4.29469004e-01 0.00000000e+00 -1.00000000e+300
3.21235676e+00 1.09988186e+00 7.74394959e+01 3.99533979e-02 9.48586946e-01 7.69547619e-01 -1.12833372e+00 -1.96639051e+00 6.71814118e-01 0.00000000e+00 -1.00000000e+300
3.31375845e+00 1.03318910e+00 2.95935247e+01 4.27375623e-02 6.18596320e-01 4.21631873e-01 -1.94915798e-01 -8.94409290e-01 6.38350523e-01 0.00000000e+00 -1.00000000e+300
3.10815523e+00 1.09443760e+00 4.57275139e+01 3.00545212e-02 4.72407072e-01 1.46068758e+00 -1.34783528e+00 -1.72256854e+00 6.75698580e-01 0.00000000e+00 -1.00000000e+300
