# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
2.76440743e+00 8.10616579e-01 5.83888649e+01 8.49985861e-02 7.93642168e-01 6.59022387e-01 0.00000000e+00 -1.00000000e+300
3.03963204e+00 9.32919788e-01 6.89623789e+01 6.15144185e-02 1.89468218e-01 2.55209453e-01 0.00000000e+00 -1.00000000e+300
3.05700709e+00 8.16456875e-01 6.45881099e+01 2.68218911e-02 9.26545226e-01 2.42495846e-01 0.00000000e+00 -1.00000000e+300
2.35250491e+00 8.31868620e-01 6.59292732e+01 5.42022226e-03 8.31781560e-01 2.87890722e-01 0.00000000e+00 -1.00000000e+300
3.62582423e+00 8.41570961e-01 7.14486467e+01 9.93744308e-02 7.33254334e-01 2.06368789e-01 0.00000000e+00 -1.00000000e+300
1.76372304e+00 8.30105164e-01 3.78677327e+01 9.12494773e-02 7.60177190e-01 3.93026973e-01 0.00000000e+00 -1.00000000e+300
1.79182849e+00 9.34985691e-01 3.66838701e+01 5.94485260e-02 5.84648963e-01 8.71947030e-02 0.00000000e+00 -1.00000000e+300
2.98724713e+00 1.01119786e+00 5.21314775e+01 1.69344500e-02 5.05799678e-01 4.41549028e-01 0.00000000e+00 -1.00000000e+300
3.48564994e+00 1.07833799e+00 9.12372488e+01 5.29468682e-02 4.96089983e-01 6.27791161e-01 0.00000000e+00 -1.00000000e+300
2.70440153e+00 1.09460490e+00 8.45864195e+01 7.03534548e-02 1.05854294e-01 3.57469318e-01 0.00000000e+00 -1.00000000e+300
2.88390490e+00 1.03633340e+00 5.68512686e+01 7.66851506e-02 1.96260212e-02 7.82907348e-01 0.00000000e+00 -1.00000000e+300
2.77781233e+00 1.18262376e+00 2.56275281e+01 6.78568814e-02 5.96244548e-02 7.95123264e-01 0.00000000e+00 -1.00000000e+300
1.88942142e+00 1.13115893e+00 9.73832961e+01 2.69602210e-02 8.86679582e-01 7.53159397e-01 0.00000000e+00 -1.00000000e+300
2.41101645e+00 1.11942964e+00 9.42670747e+01 7.83363289e-02 7.77032972e-01 5.23879871e-01 0.00000000e+00 -1.00000000e+300
2.06587890e+00 8.69588945e-01 3.73690472e+01 3.39338189e-02 6.04597224e-02 2.59795301e-01 0.00000000e+00 -1.00000000e+300
1.84145125e+00 8.50480273e-01 3.04808963e+01 9.25170124e-02 5.21919855e-01 6.22021817e-01 0.00000000e+00 -1.00000000e+300
1.63719525e+00 9.50781305e-01 2.79643667e+01 9.41111024e-02 6.66204560e-01 5.23354810e-01 0.00000000e+00 -1.00000000e+300
3.03364934e+00 1.15434427e+00 3.00428551e+01 6.77591019e-02 5.53433128e-01 4.70658406e-01 0.00000000e+00 -1.00000000e+300
3.02105841e+00 1.01326844e+00 5.57025775e+01 3.34136356e-02 7.41751100e-01 5.61626701e-01 0.00000000e+00 -1.00000000e+300
3.48348501e+00 1.11619960e+00 2.02947992e+01 8.61366792e-02 4.55236353e-01 1.70750810e-01 0.00000000e+00 -1.00000000e+300
2.19809288e+00 9.53406722e-01 9.69216654e+01 1.98579612e-02 7.02550024e-01 7.30524817e-01 0.00000000e+00 -1.00000000e+300
3.47044353e+00 9.93330697e-01 4.23238004e+01 6.43266062e-02 2.12293248e-01 7.50602294e-01 0.00000000e+00 -1.00000000e+300
2.18701210e+00 8.48947608e-01 8.27411914e+01 2.15491743e-02 2.20018391e-01 7.77324766e-01 0.00000000e+00 -1.00000000e+300
1.75538880e+00 1.04697218e+00 4.30436737e+01 6.84170209e-02 8.35653541e-01 6.72748080e-01 0.00000000e+00 -1.00000000e+300
3.90221856e+00 9.17596910e-01 9.72200117e+01 8.43759808e-02 4.59310562e-01 3.65617877e-01 0.00000000e+00 -1.00000000e+300
3.23973395e+00 9.30011572e-01 8.37176076e+01 9.64878905e-02 6.65432708e-01 7.90957170e-01 0.00000000e+00 -1.00000000e+300
2.37728993e+00 8.87263349e-01 5.24714714e+01 9.60647488e-02 8.69722521e-01 2.05204249e-01 0.00000000e+00 -1.00000000e+300
3.00156095e+00 1.00444281e+00 5.21014606e+01 9.09114785e-02 6.36413328e-01 1.82056291e-01 0.00000000e+00 -1.00000000e+300
3.26159257e+00 9.82546299e-01 6.79626011e+01 1.30871522e-02 6.35159412e-01 2.63766615e-01 0.00000000e+00 -1.00000000e+300
3.69796743e+00 9.06970380e-01 5.38685700e+01 9.27437287e-03 5.90258818e-01 3.08271295e-01 0.00000000e+00 -1.00000000e+300
2.63873281e+00 9.48266483e-01 2.32425255e+01 5.46966782e-02 1.97097964e-01 3.56047494e-01 0.00000000e+00 -1.00000000e+300
2.67950853e+00 1.02860481e+00 3.93055502e+01 2.50619180e-02 7.24229093e-01 6.26797171e-01 0.00000000e+00 -1.00000000e+300
2.84984644e+00 1.15605558e+00 6.28346572e+01 1.80813089e-02 7.94324274e-01 5.74707403e-01 0.00000000e+00 -1.00000000e+300
3.87629759e+00 1.04355476e+00 7.79899386e+01 7.20314044e-02 7.01849313e-02 3.91086039e-01 0.00000000e+00 -1.00000000e+300
2.46989817e+00 1.17711285e+00 3.92324103e+01 7.74222969e-02 6.85313174e-02 1.43521033e-01 0.00000000e+00 -1.00000000e+300
3.64728606e+00 8.89351323e-01 7.64280249e+01 3.65564935e-02 2.01629221e-01 3.58552879e-01 0.00000000e+00 -1.00000000e+300
2.20250874e+00 9.68789855e-01 6.76406896e+01 2.11624178e-02 2.55990566e-01 6.67968118e-01 0.00000000e+00 -1.00000000e+300
2.44007350e+00 1.01048905e+00 4.05953474e+01 8.42153432e-02 2.33465167e-01 4.06109884e-02 0.00000000e+00 -1.00000000e+300
1.79676568e+00 1.18406123e+00 3.53608940e+01 9.59399032e-02 8.30253926e-01 2.99830560e-01 0.00000000e+00 -1.00000000e+300
1.72262153e+00 1.12565081e+00 5.23658199e+01 4.18682981e-02 5.66693154e-02 3.76798574e-01 0.00000000e+00 -1.00000000e+300
2.92764019e+00 1.06071803e+00 5.05154561e+01 8.84650266e-02 6.90386764e-01 7.95912165e-02 0.00000000e+00 -1.00000000e+300
2.86877685e+00 9.83606200e-01 5.97634145e+01 5.85598694e-02 2.78262840e-01 1.02374358e-01 0.00000000e+00 -1.00000000e+300
